osm_id,code,fclass,name,Area
"4253527","7202",park,West Square Gardens,"4328"
"8614502","7202",park,Geraldine Mary Harmsworth Park,"1790"
"24397694","7207",allotments,Lamlash Street allotments,"1495"
"24397742","7202",park,St Marys Churchyard,"5382"
"44425766","7202",park,Newington Gardens,"6907"
"53104893","7212",retail,,"1398"
"53170142","7203",residential,Draper Estate,"13977"
"80631763","7212",retail,,"15033"
"85043401","7203",residential,,"72621"
"89719967","7209",commercial,,"13566"
"89719983","7203",residential,,"58889"
"89726887","7209",commercial,,"10107"
"89726891","7209",commercial,,"9827"
"89728003","7209",commercial,,"10175"
"89728010","7202",park,,"911"
"89833545","7204",industrial,London Road Tube Depot,"6455"
"89833558","7212",retail,,"427"
"89961137","7203",residential,,"4305"
"89961191","7209",commercial,,"8379"
"92240489","7203",residential,,"7028"
"95125315","7209",commercial,,"228"
"102702460","7218",grass,,"77"
"102702463","7218",grass,,"135"
"102702468","7218",grass,,"163"
"102702471","7218",grass,,"78"
"205353584","7218",grass,,"433"
"347935691","7218",grass,,"545"
"347935692","7218",grass,,"100"
"347940184","7202",park,,"632"
"414489471","7203",residential,,"36202"
"491823997","7212",retail,Mercato Metropolitano,"2247"
"504903031","7203",residential,,"10491"
"504903035","7203",residential,,"3948"
"690977369","7202",park,Elephant Park,"4260"
"691298978","7203",residential,,"4396"
"24830790","7212",retail,Southernwood Retail Park,"10649"
"26232328","7203",residential,,"42875"
"48045795","7203",residential,,"5238"
"52291984","7212",retail,,"11971"
"52291986","7203",residential,,"56765"
"52333555","7203",residential,,"66285"
"52528350","7203",residential,,"48996"
"52528352","7203",residential,,"21229"
"52528354","7204",industrial,,"2350"
"52528357","7203",residential,,"535"
"52588146","7203",residential,,"650"
"53104449","7203",residential,,"775"
"53104450","7212",retail,,"20860"
"53104451","7203",residential,,"22834"
"55280914","7212",retail,,"23071"
"85172459","7212",retail,,"5492"
"156931394","7202",park,Surrey Square Park,"1338"
"172781156","7218",grass,,"1243"
"172781157","7218",grass,,"305"
"407205014","7209",commercial,Mandela Way Bus Depot,"3352"
"507836936","7202",park,Burgess Park,"10762"
"608784275","7204",industrial,,"47598"
"608784276","7204",industrial,,"29190"
"19831978","7212",retail,Cantium Retail Park,"63861"
"26148040","7204",industrial,,"66409"
"31178393","7205",farm,St James's Road Stables,"6653"
"31178514","7202",park,,"1836"
"35448952","7218",grass,,"2981"
"48119692","7212",retail,,"10320"
"52333559","7203",residential,,"20"
"52334016","7203",residential,,"23126"
"52588837","7212",retail,,"7082"
"52588840","7204",industrial,,"18812"
"52588841","7212",retail,,"14778"
"52588842","7203",residential,,"2906"
"52589385","7212",retail,,"1019"
"86259399","7207",allotments,Northfield House soft fruit orchard,"398"
"111387315","7202",park,Leyton Square,"7971"
"137385499","7204",industrial,Integrated Waste Management Facility,"128"
"431646830","7218",grass,,"401"
"431650069","7203",residential,,"33051"
"447297184","7204",industrial,New Cross Substation,"16635"
"480676764","7218",grass,,"47"
"480676765","7218",grass,,"49"
"480676766","7218",grass,,"273"
"480676767","7218",grass,,"27"
"507820583","7203",residential,,"8310"
"507837997","7204",industrial,,"2760"
"617439828","7203",residential,Ledbury Estate,"12764"
"617439829","7203",residential,Friary Estate,"41305"
"617439830","7203",residential,,"1295"
"617656793","7218",grass,,"1560"
"617656794","7218",grass,,"894"
"617656832","7218",grass,,"989"
"635396615","7204",industrial,,"17082"
"681903723","7204",industrial,Six Bridges Trading Estate,"39180"
"714461926","7203",residential,,"9071"
"25732879","7202",park,Fordham Park,"15277"
"48049373","7203",residential,,"730"
"48927856","7211",recreation_ground,The Quad,"558"
"52716880","7203",residential,,"21317"
"52716882","7203",residential,,"13671"
"52716892","7212",retail,,"12161"
"52716935","7212",retail,,"35955"
"52716940","7203",residential,,"37199"
"52716963","7203",residential,,"1505"
"156487701","7211",recreation_ground,Goldsmiths College Green,"6246"
"191055827","7210",nature_reserve,Brockley Nature Reserve,"1982"
"191055827","7201",forest,Brockley Nature Reserve,"1982"
"205651583","7203",residential,,"153"
"228815898","7218",grass,,"403"
"261225927","7203",residential,,"1172"
"302343177","7203",residential,,"111520"
"479385110","7218",grass,,"776"
"479385111","7218",grass,,"199"
"479385123","7218",grass,,"268"
"479385125","7218",grass,,"227"
"502612941","7203",residential,,"4958"
"502612942","7212",retail,,"10436"
"502725674","7203",residential,,"42483"
"621816058","7212",retail,,"339"
"621816067","7218",grass,,"614"
"729321138","7203",residential,,"653"
"729321139","7212",retail,,"1119"
"729345114","7212",retail,,"47"
"733613406","7212",retail,,"882"
"733615155","7202",park,,"501"
"25732846","7202",park,Brookmill Park,"492"
"35535147","7212",retail,,"599"
"35535149","7212",retail,,"15012"
"35536802","7203",residential,,"5363"
"42959066","7202",park,Cornmill Gardens,"12601"
"51730795","7212",retail,,"4927"
"54398721","7203",residential,,"10832"
"54426523","7203",residential,,"42514"
"502431661","7203",residential,,"3771"
"7348924","7203",residential,,"103993"
"502612932","7210",nature_reserve,Brookmill Nature Reserve,"3"
"522497032","7212",retail,,"3551"
"523149730","7203",residential,,"3681"
"525512383","7212",retail,,"5301"
"526646776","7202",park,,"20"
"526646777","7202",park,,"33"
"526674081","7201",forest,,"3871"
"638359341","7218",grass,,"63"
"638359344","7218",grass,,"24"
"638359346","7218",grass,,"51"
"638359349","7218",grass,,"214"
"655225721","7218",grass,,"167"
"687881434","7212",retail,,"11116"
"687881435","7203",residential,,"100851"
"687881438","7212",retail,,"1162"
"687881439","7203",residential,,"14300"
"5552548","7202",park,St Giles' Churchyard,"164"
"8075143","7212",retail,,"23114"
"9384065","7202",park,Camberwell Green,"9160"
"35735106","7203",residential,Crawford Estate,"23937"
"35735164","7203",residential,,"11340"
"39468902","7204",industrial,Camberwell Delivery Office,"6474"
"39469007","7203",residential,Samuel Lewis Trust Estate,"10660"
"39501575","7203",residential,Wyndham and Comber Estate,"3438"
"39579118","7204",industrial,Walworth Bus Garage,"10256"
"40044430","7202",park,,"297"
"41690480","7204",industrial,,"1243"
"42437191","7203",residential,The Castlemead Estate,"1810"
"48046601","7203",residential,,"59973"
"48046602","7212",retail,,"4966"
"48046605","7212",retail,,"1687"
"48302880","7212",retail,,"1054"
"53168561","7203",residential,,"3792"
"53168563","7212",retail,,"2252"
"71571287","7204",industrial,Camberwell Bus Garage,"8085"
"331537852","7212",retail,,"561"
"459229132","7203",residential,Camberwell on the Green,"5331"
"510718719","7204",industrial,,"13214"
"526027767","7212",retail,,"2018"
"545367928","7203",residential,,"71000"
"589714294","7218",grass,,"331"
"589714297","7218",grass,,"207"
"589714300","7218",grass,,"28"
"589971532","7218",grass,,"835"
"589971533","7218",grass,,"1276"
"589997570","7203",residential,,"4868"
"591048654","7218",grass,,"1049"
"591051678","7204",industrial,Valmar Trading Estate,"5624"
"609626507","7212",retail,,"4924"
"609723602","7218",grass,,"319"
"621224359","7203",residential,D'Eynsford Estate,"34296"
"621224360","7203",residential,,"20400"
"639436545","7204",industrial,,"1678"
"639436546","7203",residential,,"3979"
"639436547","7212",retail,,"981"
"690358664","7212",retail,,"8017"
"690358665","7212",retail,,"183"
"697598453","7203",residential,,"5044"
"697598454","7212",retail,,"444"
"697598456","7203",residential,,"29107"
"697599376","7212",retail,,"202"
"4677806","7212",retail,,"6237"
"4799189","7202",park,Holly Grove Shrubbery,"3595"
"4865519","7204",industrial,Print Village,"7347"
"4865817","7203",residential,Bellenden,"145418"
"77740","7202",park,Warwick Gardens,"10454"
"5198806","7203",residential,,"503"
"35428540","7203",residential,,"30649"
"35446996","7204",industrial,,"5149"
"35536678","7203",residential,,"27374"
"40681912","7204",industrial,Bellenden Road Business Centre,"2300"
"53014662","7204",industrial,,"4338"
"78765572","7218",grass,,"257"
"78765619","7218",grass,,"449"
"79178677","7203",residential,,"727"
"99846519","7210",nature_reserve,Bellenden Road Nature Garden,"676"
"167869819","7204",industrial,Peckham Bus Garage,"3868"
"336081534","7212",retail,Copeland Park & Bussey Building,"9283"
"545367930","7203",residential,,"5375"
"594697539","7203",residential,,"71004"
"681524336","7212",retail,,"0"
"681524341","7212",retail,,"98880"
"687584028","7203",residential,,"2911"
