LSOA,Ward Name,LA NAME,EMPLOYMENT SCORE,RANK OF EMPLOYMENT SCORE (where 1 is most deprived)
E01003189,Bellingham,Lewisham,0.15,6314
E01003190,Bellingham,Lewisham,0.17,4880
E01003191,Bellingham,Lewisham,0.14,7585
E01003192,Bellingham,Lewisham,0.21,2394
E01003193,Bellingham,Lewisham,0.14,7399
E01003194,Bellingham,Lewisham,0.15,6537
E01003195,Bellingham,Lewisham,0.07,20013
E01003196,Bellingham,Lewisham,0.13,8913
E01003197,Bellingham,Lewisham,0.16,5426
E01003198,Blackheath,Lewisham,0.09,14331
E01003199,Blackheath,Lewisham,0.06,23113
E01003200,Blackheath,Lewisham,0.05,25661
E01003201,Blackheath,Lewisham,0.13,8151
E01003202,Blackheath,Lewisham,0.04,27332
E01003203,Blackheath,Lewisham,0.11,10435
E01003204,Blackheath,Lewisham,0.09,14234
E01003205,Blackheath,Lewisham,0.16,5633
E01003206,Blackheath,Lewisham,0.08,15994
E01003207,Brockley,Lewisham,0.13,8587
E01003208,Brockley,Lewisham,0.08,16984
E01003209,Brockley,Lewisham,0.14,7257
E01003210,Brockley,Lewisham,0.11,11167
E01003211,Brockley,Lewisham,0.10,12073
E01003212,Brockley,Lewisham,0.11,11295
E01003213,Brockley,Lewisham,0.10,11837
E01003214,Brockley,Lewisham,0.13,7945
E01003215,Brockley,Lewisham,0.08,17388
E01003216,Catford South,Lewisham,0.12,9613
E01003217,Catford South,Lewisham,0.07,18655
E01003218,Catford South,Lewisham,0.08,17729
E01003219,Catford South,Lewisham,0.08,17890
E01003220,Catford South,Lewisham,0.13,8348
E01003221,Catford South,Lewisham,0.10,12521
E01003222,Catford South,Lewisham,0.09,14272
E01003223,Catford South,Lewisham,0.07,18950
E01003224,Catford South,Lewisham,0.09,13840
E01003225,Crofton Park,Lewisham,0.06,21887
E01003226,Crofton Park,Lewisham,0.08,17121
E01003227,Crofton Park,Lewisham,0.07,17945
E01003228,Crofton Park,Lewisham,0.07,20248
E01003229,Crofton Park,Lewisham,0.13,8024
E01003230,Crofton Park,Lewisham,0.15,6289
E01003231,Crofton Park,Lewisham,0.11,10276
E01003232,Crofton Park,Lewisham,0.07,20212
E01003233,Crofton Park,Lewisham,0.08,15533
E01003234,Downham,Lewisham,0.16,5782
E01003235,Downham,Lewisham,0.12,9723
E01003236,Downham,Lewisham,0.14,7474
E01003237,Downham,Lewisham,0.14,7007
E01003238,Downham,Lewisham,0.13,8164
E01003239,Downham,Lewisham,0.12,9875
E01003240,Downham,Lewisham,0.15,6588
E01003241,Downham,Lewisham,0.19,3640
E01003242,Downham,Lewisham,0.14,7755
E01003243,Downham,Lewisham,0.14,7563
E01003244,Evelyn,Lewisham,0.17,4877
E01003245,Evelyn,Lewisham,0.17,4437
E01003246,Evelyn,Lewisham,0.15,6049
E01003247,Evelyn,Lewisham,0.07,18873
E01003248,Evelyn,Lewisham,0.13,8320
E01003249,Evelyn,Lewisham,0.14,6809
E01003250,Evelyn,Lewisham,0.13,8293
E01003251,Evelyn,Lewisham,0.15,6603
E01003252,Evelyn,Lewisham,0.15,5857
E01003253,Evelyn,Lewisham,0.16,5612
E01003254,Forest Hill,Lewisham,0.06,20689
E01003255,Forest Hill,Lewisham,0.10,12560
E01003256,Forest Hill,Lewisham,0.17,4988
E01003257,Forest Hill,Lewisham,0.11,10896
E01003258,Forest Hill,Lewisham,0.16,5683
E01003259,Forest Hill,Lewisham,0.10,11818
E01003260,Forest Hill,Lewisham,0.08,15530
E01003261,Forest Hill,Lewisham,0.09,15431
E01003262,Forest Hill,Lewisham,0.09,14779
E01003263,Grove Park,Lewisham,0.13,7951
E01003264,Grove Park,Lewisham,0.10,12100
E01003265,Grove Park,Lewisham,0.14,7577
E01003266,Grove Park,Lewisham,0.17,4987
E01003267,Grove Park,Lewisham,0.14,7407
E01003268,Grove Park,Lewisham,0.10,11805
E01003269,Grove Park,Lewisham,0.13,8524
E01003270,Grove Park,Lewisham,0.06,21255
E01003271,Grove Park,Lewisham,0.05,25061
E01003272,Ladywell,Lewisham,0.10,13008
E01003273,Ladywell,Lewisham,0.08,17801
E01003274,Ladywell,Lewisham,0.07,18902
E01003275,Ladywell,Lewisham,0.11,10384
E01003276,Ladywell,Lewisham,0.09,14902
E01003277,Ladywell,Lewisham,0.12,10075
E01003278,Ladywell,Lewisham,0.10,13205
E01003279,Ladywell,Lewisham,0.09,15316
E01003280,Lee Green,Lewisham,0.13,8109
E01003281,Lee Green,Lewisham,0.09,14334
E01003282,Lee Green,Lewisham,0.10,11986
E01003283,Lee Green,Lewisham,0.06,22280
E01003284,Lee Green,Lewisham,0.10,12827
E01003285,Lee Green,Lewisham,0.06,20672
E01003286,Lee Green,Lewisham,0.13,8222
E01003287,Lee Green,Lewisham,0.09,15361
E01003288,Lewisham Central,Lewisham,0.14,6864
E01003289,Lewisham Central,Lewisham,0.10,11855
E01003290,Lewisham Central,Lewisham,0.14,6902
E01003291,Lewisham Central,Lewisham,0.20,2642
E01003292,Lewisham Central,Lewisham,0.06,22038
E01003293,Lewisham Central,Lewisham,0.12,9630
E01003294,Lewisham Central,Lewisham,0.10,12282
E01003295,Lewisham Central,Lewisham,0.11,10901
E01003296,Lewisham Central,Lewisham,0.09,14491
E01003297,New Cross,Lewisham,0.08,16635
E01003298,New Cross,Lewisham,0.14,7669
E01003299,New Cross,Lewisham,0.14,7413
E01003300,New Cross,Lewisham,0.14,7076
E01003301,New Cross,Lewisham,0.06,21078
E01003302,New Cross,Lewisham,0.10,12753
E01003303,New Cross,Lewisham,0.11,11453
E01003304,New Cross,Lewisham,0.12,9145
E01003305,New Cross,Lewisham,0.16,5644
E01003306,New Cross,Lewisham,0.13,8135
E01003307,Perry Vale,Lewisham,0.09,14394
E01003308,Perry Vale,Lewisham,0.12,10189
E01003309,Perry Vale,Lewisham,0.14,6859
E01003310,Perry Vale,Lewisham,0.18,4197
E01003311,Perry Vale,Lewisham,0.08,16987
E01003312,Perry Vale,Lewisham,0.10,13224
E01003313,Perry Vale,Lewisham,0.14,7540
E01003314,Perry Vale,Lewisham,0.10,12863
