LSOA11CD,Area_Names,Total_Population,Working_AgePopulation18_65,Pensioners,pctIncrease,TotalPop2017e,WorkingAgePOp2017e,Pensioners2017e
E01003244,Lewisham 001A,1671,1108,64,1,1825,1210,70
E01003245,Lewisham 001B,1965,1355,63,1,2146,1480,69
E01003247,Lewisham 001C,2203,1924,111,1,2406,2101,121
E01003249,Lewisham 001D,2063,1726,112,1,2253,1885,122
E01003250,Lewisham 001E,3011,2530,157,1,3288,2763,171
E01003246,Lewisham 002A,1661,1264,101,1,1814,1380,110
E01003248,Lewisham 002B,1664,1250,70,1,1817,1365,76
E01003251,Lewisham 002C,2227,1575,102,1,2432,1720,111
E01003252,Lewisham 002D,1485,1005,94,1,1622,1098,103
E01003253,Lewisham 002E,1524,1213,159,1,1664,1325,174
E01003297,Lewisham 003A,1658,1238,45,1,1811,1352,49
E01003299,Lewisham 003B,1742,1374,104,1,1903,1501,114
E01003301,Lewisham 003C,2304,1877,75,1,2516,2050,82
E01003302,Lewisham 003D,1636,1275,124,1,1787,1392,135
E01003305,Lewisham 003E,1937,1473,181,1,2115,1609,198
E01003207,Lewisham 005A,1745,1373,151,1,1906,1500,165
E01003209,Lewisham 005B,2038,1665,109,1,2226,1818,119
E01003210,Lewisham 005C,1956,1603,85,1,2136,1751,93
E01003212,Lewisham 005D,2236,1881,172,1,2442,2054,188
E01003215,Lewisham 005E,2037,1678,71,1,2225,1833,78
E01003338,Lewisham 006A,2079,1624,186,1,2271,1774,203
E01003339,Lewisham 006B,1766,1439,158,1,1929,1572,173
E01003340,Lewisham 006C,1903,1646,113,1,2078,1798,123
E01003341,Lewisham 006D,1503,1200,101,1,1641,1311,110
E01003343,Lewisham 006E,1549,1229,121,1,1692,1342,132
E01003199,Lewisham 007A,1834,1513,187,1,2003,1652,204
E01003201,Lewisham 007B,1653,1303,118,1,1805,1423,129
E01003204,Lewisham 007C,1306,1053,114,1,1426,1150,125
E01003205,Lewisham 007D,1549,1038,129,1,1692,1134,141
E01003206,Lewisham 007E,1676,1337,145,1,1830,1460,158
E01003211,Lewisham 008B,1606,1305,96,1,1754,1425,105
E01003213,Lewisham 008C,1930,1583,118,1,2108,1729,129
E01003214,Lewisham 008D,1929,1521,116,1,2107,1661,127
E01033324,Lewisham 008E,1605,1290,186,1,1753,1409,203
E01033325,Lewisham 008F,1457,1341,24,1,1591,1465,26
E01003198,Lewisham 009A,1499,1128,178,1,1637,1232,194
E01003200,Lewisham 009B,1661,1384,183,1,1814,1512,200
E01003202,Lewisham 009C,1604,1345,302,1,1752,1469,330
E01003203,Lewisham 009D,1981,1677,185,1,2164,1832,202
E01003336,Lewisham 010A,1498,1082,113,1,1636,1182,123
E01003337,Lewisham 010B,1689,1175,96,1,1845,1283,105
E01003342,Lewisham 010C,1726,1340,96,1,1885,1463,105
E01003344,Lewisham 010D,1818,1502,106,1,1986,1640,116
E01003345,Lewisham 010E,2096,1726,112,1,2289,1885,122
E01003273,Lewisham 011A,1999,1666,144,1,2183,1820,157
E01003277,Lewisham 011B,1819,1499,126,1,1987,1637,138
E01003278,Lewisham 011C,1969,1590,174,1,2150,1737,190
E01003279,Lewisham 011D,1638,1335,189,1,1789,1458,206
E01003288,Lewisham 012A,2107,1715,261,1,2301,1873,285
E01003290,Lewisham 012C,1744,1404,112,1,1905,1533,122
E01003291,Lewisham 012D,1514,1131,168,1,1654,1235,183
E01003296,Lewisham 012E,5111,4224,152,1,5582,4613,166
E01033327,Lewisham 012F,1893,1607,136,1,2067,1755,149
E01033341,Lewisham 012G,1343,913,89,1,1467,997,97
E01003282,Lewisham 013A,2699,2242,188,1,2948,2449,205
E01003283,Lewisham 013B,2272,1746,219,1,2481,1907,239
E01003284,Lewisham 013C,1955,1551,179,1,2135,1694,195
E01003286,Lewisham 013D,1800,1334,235,1,1966,1457,257
E01003272,Lewisham 014A,2012,1677,160,1,2197,1832,175
E01003274,Lewisham 014B,1719,1386,141,1,1877,1514,154
E01003275,Lewisham 014C,1702,1341,253,1,1859,1465,276
E01003276,Lewisham 014D,1906,1406,161,1,2082,1536,176
E01003225,Lewisham 015A,1625,1246,167,1,1775,1361,182
E01003231,Lewisham 015B,1633,1275,117,1,1783,1392,128
E01003232,Lewisham 015C,1873,1419,173,1,2046,1550,189
E01003233,Lewisham 015D,1781,1372,160,1,1945,1498,175
E01003280,Lewisham 016A,1800,1343,199,1,1966,1467,217
E01003281,Lewisham 016B,1615,1248,217,1,1764,1363,237
E01003285,Lewisham 016C,1917,1508,209,1,2094,1647,228
E01003287,Lewisham 016D,2078,1606,211,1,2269,1754,230
E01003292,Lewisham 017A,1535,1223,125,1,1676,1336,137
E01003293,Lewisham 017B,1532,1218,110,1,1673,1330,120
E01003295,Lewisham 017D,1787,1340,164,1,1952,1463,179
E01033320,Lewisham 017E,1826,1471,166,1,1994,1607,181
E01033322,Lewisham 017F,1419,1177,49,1,1550,1285,54
E01003319,Lewisham 018A,1991,1487,200,1,2174,1624,218
E01003320,Lewisham 018B,1356,1040,90,1,1481,1136,98
E01003323,Lewisham 018C,1434,1144,106,1,1566,1249,116
E01003325,Lewisham 018D,1885,1363,134,1,2059,1489,146
E01003226,Lewisham 019A,1752,1392,141,1,1913,1520,154
E01003227,Lewisham 019B,1726,1361,146,1,1885,1486,159
E01003228,Lewisham 019C,1580,1250,148,1,1726,1365,162
E01003229,Lewisham 019D,1670,1327,172,1,1824,1449,188
E01003230,Lewisham 019E,2040,1547,136,1,2228,1690,149
E01003317,Lewisham 020A,2410,1782,178,1,2632,1946,194
E01003318,Lewisham 020B,1870,1421,150,1,2042,1552,164
E01003321,Lewisham 020C,2105,1591,159,1,2299,1738,174
E01003322,Lewisham 020D,1545,1219,144,1,1687,1331,157
E01003324,Lewisham 020E,1705,1272,111,1,1862,1389,121
E01003254,Lewisham 021A,1498,1183,196,1,1636,1292,214
E01003255,Lewisham 021B,2232,1868,112,1,2438,2040,122
E01003260,Lewisham 021C,1928,1310,177,1,2106,1431,193
E01003261,Lewisham 021D,1458,1111,158,1,1592,1213,173
E01003262,Lewisham 021E,1442,1082,98,1,1575,1182,107
E01003217,Lewisham 022A,1673,1242,198,1,1827,1356,216
E01003218,Lewisham 022B,1656,1220,154,1,1809,1332,168
E01003220,Lewisham 022C,1749,1413,194,1,1910,1543,212
E01003222,Lewisham 022D,1739,1326,163,1,1899,1448,178
E01003224,Lewisham 022E,1786,1319,174,1,1951,1441,190
E01003263,Lewisham 023A,1827,1370,216,1,1995,1496,236
E01003268,Lewisham 023B,1967,1481,170,1,2148,1617,186
E01003269,Lewisham 023C,1654,1281,189,1,1806,1399,206
E01003270,Lewisham 023D,1827,1450,209,1,1995,1584,228
E01003271,Lewisham 023E,1645,1327,281,1,1797,1449,307
E01003307,Lewisham 024A,1573,1238,174,1,1718,1352,190
E01003308,Lewisham 024B,1979,1516,171,1,2161,1656,187
E01003314,Lewisham 024C,1763,1312,117,1,1925,1433,128
E01003315,Lewisham 024D,1373,1119,109,1,1500,1222,119
E01003316,Lewisham 024E,1554,1222,159,1,1697,1335,174
E01003216,Lewisham 025A,1977,1502,165,1,2159,1640,180
E01003219,Lewisham 025B,1771,1367,226,1,1934,1493,247
E01003221,Lewisham 025C,2111,1615,234,1,2306,1764,256
E01003223,Lewisham 025D,1710,1374,240,1,1868,1501,262
E01003346,Lewisham 026A,1708,1262,183,1,1865,1378,200
E01003349,Lewisham 026B,1639,1134,127,1,1790,1238,139
E01003351,Lewisham 026C,1516,1071,184,1,1656,1170,201
E01003354,Lewisham 026D,1908,1424,140,1,2084,1555,153
E01003309,Lewisham 027A,1570,1184,170,1,1715,1293,186
E01003310,Lewisham 027B,1728,1374,102,1,1887,1501,111
E01003311,Lewisham 027C,1694,1294,250,1,1850,1413,273
E01003312,Lewisham 027D,1806,1424,180,1,1972,1555,197
E01003313,Lewisham 027E,1533,1101,101,1,1674,1202,110
E01003256,Lewisham 028A,2506,1948,193,1,2737,2128,211
E01003257,Lewisham 028B,1757,1340,269,1,1919,1463,294
E01003258,Lewisham 028C,1573,1075,79,1,1718,1174,86
E01003259,Lewisham 028D,1806,1409,137,1,1972,1539,150
E01003193,Lewisham 029A,1715,1328,243,1,1873,1450,265
E01003194,Lewisham 029B,1857,1383,212,1,2028,1510,232
E01003195,Lewisham 029C,1591,1199,200,1,1738,1309,218
E01003196,Lewisham 029D,1783,1261,157,1,1947,1377,171
E01003197,Lewisham 029E,1711,1256,159,1,1869,1372,174
E01003347,Lewisham 030A,1815,1203,142,1,1982,1314,155
E01003348,Lewisham 030B,1657,1221,195,1,1810,1334,213
E01003350,Lewisham 030C,1277,936,117,1,1395,1022,128
E01003352,Lewisham 030D,2376,1774,295,1,2595,1937,322
E01003353,Lewisham 030E,1855,1401,219,1,2026,1530,239
E01003264,Lewisham 031A,1522,1195,215,1,1662,1305,235
E01003265,Lewisham 031B,1664,1216,110,1,1817,1328,120
E01003266,Lewisham 031C,1779,1329,236,1,1943,1451,258
E01003267,Lewisham 031D,1570,1173,190,1,1715,1281,208
E01003329,Lewisham 033A,1717,1272,143,1,1875,1389,156
E01003330,Lewisham 033B,1625,1152,188,1,1775,1258,205
E01003331,Lewisham 033C,1591,1256,256,1,1738,1372,280
E01003332,Lewisham 033D,1579,1247,155,1,1725,1362,169
E01003334,Lewisham 033E,1887,1459,151,1,2061,1593,165
E01003189,Lewisham 034A,1722,1219,186,1,1881,1331,203
E01003190,Lewisham 034B,2405,1634,135,1,2627,1785,147
E01003191,Lewisham 034C,1672,1224,145,1,1826,1337,158
E01003192,Lewisham 034D,1681,1241,147,1,1836,1355,161
E01003326,Lewisham 035A,1587,1249,227,1,1733,1364,248
E01003327,Lewisham 035B,2050,1647,196,1,2239,1799,214
E01003328,Lewisham 035C,1821,1432,194,1,1989,1564,212
E01003333,Lewisham 035D,1576,1219,132,1,1721,1331,144
E01003335,Lewisham 035E,1514,1144,189,1,1654,1249,206
E01003236,Lewisham 037A,1670,1174,140,1,1824,1282,153
E01003237,Lewisham 037B,1595,1145,166,1,1742,1251,181
E01003238,Lewisham 037C,1427,1023,122,1,1558,1117,133
E01003239,Lewisham 037D,1513,1077,132,1,1652,1176,144
E01032564,Lewisham 037E,1361,975,146,1,1486,1065,159
E01003235,Lewisham 038A,1337,1026,144,1,1460,1121,157
E01003240,Lewisham 038B,2015,1443,203,1,2201,1576,222
E01003241,Lewisham 038C,1658,1352,311,1,1811,1477,340
E01003243,Lewisham 038D,1501,1129,162,1,1639,1233,177
E01032565,Lewisham 038E,1605,1167,203,1,1753,1275,222
E01003298,Lewisham 039A,1267,955,88,1,1384,1043,96
E01003300,Lewisham 039B,1360,1041,123,1,1485,1137,134
E01003303,Lewisham 039C,1562,1273,107,1,1706,1390,117
E01003304,Lewisham 039D,2234,1836,109,1,2440,2005,119
E01032579,Lewisham 039E,1595,1284,50,1,1742,1402,55
E01004029,Southwark 001A,2444,2098,76,1,2664,2287,83
E01004032,Southwark 001B,2028,1802,77,1,2211,1964,84
E01004053,Southwark 001C,1988,1735,110,1,2167,1891,120
E01004054,Southwark 001D,1671,1470,100,1,1821,1602,109
E01004055,Southwark 001E,1306,1051,195,1,1424,1146,213
E01003927,Southwark 002A,3310,3020,147,1,3608,3292,160
E01003929,Southwark 002B,2359,2095,139,1,2571,2284,152
E01003934,Southwark 002C,1915,1738,214,1,2087,1894,233
E01003935,Southwark 002D,1207,1054,87,1,1316,1149,95
E01003939,Southwark 002E,1946,1684,75,1,2121,1836,82
E01003976,Southwark 003A,2316,1822,76,1,2524,1986,83
E01004027,Southwark 003E,2642,2167,84,1,2880,2362,92
E01032637,Southwark 003F,1576,1503,40,1,1718,1638,44
E01032638,Southwark 003G,1396,1316,80,1,1522,1434,87
E01032640,Southwark 003H,1426,1325,63,1,1554,1444,69
E01032646,Southwark 003I,1712,1521,65,1,1866,1658,71
E01032803,Southwark 003J,1347,1208,29,1,1468,1317,32
E01032834,Southwark 003K,1213,1145,70,1,1322,1248,76
E01003975,Southwark 004A,1951,1454,110,1,2127,1585,120
E01003978,Southwark 004B,2824,2360,120,1,3078,2572,131
E01004022,Southwark 004C,3823,3056,260,1,4167,3331,283
E01004023,Southwark 004D,1847,1460,186,1,2013,1591,203
E01004028,Southwark 004E,2704,2126,137,1,2947,2317,149
E01003938,Southwark 006A,1645,1283,91,1,1793,1398,99
E01003940,Southwark 006B,1410,1078,127,1,1537,1175,138
E01003941,Southwark 006C,2047,1754,118,1,2231,1912,129
E01003942,Southwark 006D,1587,1201,135,1,1730,1309,147
E01003979,Southwark 006E,1896,1635,215,1,2067,1782,234
E01003981,Southwark 006F,2215,1959,129,1,2414,2135,141
E01004030,Southwark 007A,1584,1398,150,1,1727,1524,164
E01004031,Southwark 007B,2301,1912,150,1,2508,2084,164
E01004033,Southwark 007C,2689,2148,184,1,2931,2341,201
E01004034,Southwark 007D,1756,1297,130,1,1914,1414,142
E01004036,Southwark 007E,2320,1731,147,1,2529,1887,160
E01004056,Southwark 008A,2127,1745,149,1,2318,1902,162
E01004057,Southwark 008B,1924,1525,97,1,2097,1662,106
E01004058,Southwark 008C,1805,1650,120,1,1967,1799,131
E01004059,Southwark 008D,1643,1487,48,1,1791,1621,52
E01004060,Southwark 008E,2167,1764,165,1,2362,1923,180
E01003936,Southwark 009A,2980,2625,74,1,3248,2861,81
E01003937,Southwark 009B,1389,1244,67,1,1514,1356,73
E01003943,Southwark 009C,1165,852,90,1,1270,929,98
E01032720,Southwark 009F,1188,945,82,1,1295,1030,89
E01003977,Southwark 010A,2239,1777,212,1,2441,1937,231
E01004037,Southwark 010B,2079,1592,86,1,2266,1735,94
E01004038,Southwark 010C,2708,2065,94,1,2952,2251,102
E01004042,Southwark 010D,1825,1460,192,1,1989,1591,209
E01004043,Southwark 010E,1472,1226,183,1,1604,1336,199
E01003986,Southwark 011A,1627,1212,170,1,1773,1321,185
E01003987,Southwark 011B,1877,1452,213,1,2046,1583,232
E01004024,Southwark 011C,2185,1757,193,1,2382,1915,210
E01004035,Southwark 011D,1486,1151,168,1,1620,1255,183
E01003960,Southwark 012A,2023,1690,139,1,2205,1842,152
E01003961,Southwark 012B,2147,1676,260,1,2340,1827,283
E01003994,Southwark 012E,1483,1257,120,1,1616,1370,131
E01032722,Southwark 012F,2341,1911,206,1,2552,2083,225
E01003980,Southwark 013A,2075,1780,168,1,2262,1940,183
E01004039,Southwark 013B,1713,1399,80,1,1867,1525,87
E01004040,Southwark 013C,1931,1385,145,1,2105,1510,158
E01004041,Southwark 013D,1796,1397,113,1,1958,1523,123
E01004044,Southwark 013E,1533,1133,139,1,1671,1235,152
E01003992,Southwark 014A,1707,1213,151,1,1861,1322,165
E01003995,Southwark 014B,1502,1251,140,1,1637,1364,153
E01003998,Southwark 014D,1438,1233,126,1,1567,1344,137
E01003999,Southwark 014E,1528,1191,87,1,1666,1298,95
E01032639,Southwark 014F,2300,2055,125,1,2507,2240,136
E01032719,Southwark 014G,1788,1487,94,1,1949,1621,102
E01003964,Southwark 015A,2289,1757,144,1,2495,1915,157
E01003966,Southwark 015B,1924,1517,207,1,2097,1654,226
E01003968,Southwark 015C,1236,826,105,1,1347,900,114
E01003971,Southwark 015D,1299,768,75,1,1416,837,82
E01003974,Southwark 015E,1409,976,102,1,1536,1064,111
E01003963,Southwark 016A,1653,1220,103,1,1802,1330,112
E01003967,Southwark 016B,926,726,62,1,1009,791,68
E01003970,Southwark 016C,1194,870,114,1,1301,948,124
E01003972,Southwark 016D,1682,1264,93,1,1833,1378,101
E01003973,Southwark 016E,1716,1334,119,1,1870,1454,130
E01003923,Southwark 017A,1845,1549,129,1,2011,1688,141
E01003969,Southwark 017B,2602,2144,184,1,2836,2337,201
E01003991,Southwark 017C,1259,1063,219,1,1372,1159,239
E01003993,Southwark 017D,1940,1366,120,1,2115,1489,131
E01003997,Southwark 017E,1289,1031,92,1,1405,1124,100
E01003983,Southwark 018A,2225,1533,164,1,2425,1671,179
E01003988,Southwark 018B,2336,1808,239,1,2546,1971,261
E01003989,Southwark 018C,1942,1351,94,1,2117,1473,102
E01003990,Southwark 018D,2152,1575,175,1,2346,1717,191
E01004007,Southwark 018E,1317,933,137,1,1436,1017,149
E01003912,Southwark 019A,1549,1037,103,1,1688,1130,112
E01004011,Southwark 019B,2295,1644,140,1,2502,1792,153
E01004012,Southwark 019C,2488,1916,103,1,2712,2088,112
E01004013,Southwark 019D,1461,1103,119,1,1593,1202,130
E01004014,Southwark 019E,1691,1236,133,1,1843,1347,145
E01003911,Southwark 020A,1813,1338,95,1,1976,1458,104
E01003916,Southwark 020B,2234,1813,155,1,2435,1976,169
E01003917,Southwark 020C,2029,1658,197,1,2212,1807,215
E01003918,Southwark 020D,1332,1001,159,1,1452,1091,173
E01003925,Southwark 020E,1849,1389,162,1,2015,1514,177
E01003919,Southwark 021A,1838,1525,135,1,2003,1662,147
E01003920,Southwark 021B,1906,1365,131,1,2078,1488,143
E01003921,Southwark 021C,1581,1263,101,1,1723,1377,110
E01003922,Southwark 021D,2202,1689,136,1,2400,1841,148
E01003924,Southwark 021E,2031,1493,148,1,2214,1627,161
E01003926,Southwark 021F,1398,1111,138,1,1524,1211,150
E01004008,Southwark 022B,2035,1541,153,1,2218,1680,167
E01004010,Southwark 022D,1648,1247,124,1,1796,1359,135
E01004067,Southwark 022E,2241,1716,130,1,2443,1870,142
E01032805,Southwark 022F,2620,2041,216,1,2856,2225,235
